Ethnicity,Total,Male,Female,Municipality
Total,5042,2486,2556,Mavrovo and Rostusha
Macedonians,1474,769,705,Mavrovo and Rostusha
Albanians,470,227,243,Mavrovo and Rostusha
Turks,1555,755,800,Mavrovo and Rostusha
Roma,3,2,1,Mavrovo and Rostusha
Vlachs,2,0,2,Mavrovo and Rostusha
Serbs,6,4,2,Mavrovo and Rostusha
Bosniaks,35,17,18,Mavrovo and Rostusha
Other,1073,507,566,Mavrovo and Rostusha
Undeclared,18,11,7,Mavrovo and Rostusha
Unknown,1,0,1,Mavrovo and Rostusha
Admin,405,194,211,Mavrovo and Rostusha
Total,6439,3335,3104,Makedonska Kamenica
Macedonians,5975,3089,2886,Makedonska Kamenica
Albanians,6,0,6,Makedonska Kamenica
Turks,2,1,1,Makedonska Kamenica
Roma,0,0,0,Makedonska Kamenica
Vlachs,0,0,0,Makedonska Kamenica
Serbs,9,5,4,Makedonska Kamenica
Bosniaks,9,4,5,Makedonska Kamenica
Other,14,7,7,Makedonska Kamenica
Undeclared,0,0,0,Makedonska Kamenica
Unknown,1,1,0,Makedonska Kamenica
Admin,423,228,195,Makedonska Kamenica
Total,5889,3055,2834,Makedonski Brod
Macedonians,5367,2805,2562,Makedonski Brod
Albanians,38,0,38,Makedonski Brod
Turks,241,122,119,Makedonski Brod
Roma,18,10,8,Makedonski Brod
Vlachs,0,0,0,Makedonski Brod
Serbs,10,6,4,Makedonski Brod
Bosniaks,1,0,1,Makedonski Brod
Other,8,2,6,Makedonski Brod
Undeclared,2,1,1,Makedonski Brod
Unknown,0,0,0,Makedonski Brod
Admin,204,109,95,Makedonski Brod
Total,5283,2760,2523,Mogila
Macedonians,4632,2431,2201,Mogila
Albanians,73,27,46,Mogila
Turks,266,145,121,Mogila
Roma,15,7,8,Mogila
Vlachs,2,1,1,Mogila
Serbs,1,0,1,Mogila
Bosniaks,0,0,0,Mogila
Other,37,16,21,Mogila
Undeclared,1,0,1,Mogila
Unknown,0,0,0,Mogila
Admin,256,133,123,Mogila
Total,18194,9149,9045,Negotino
Macedonians,15698,7833,7865,Negotino
Albanians,42,17,25,Negotino
Turks,349,185,164,Negotino
Roma,493,250,243,Negotino
Vlachs,14,9,5,Negotino
Serbs,344,208,136,Negotino
Bosniaks,1,0,1,Negotino
Other,252,142,110,Negotino
Undeclared,0,0,0,Negotino
Unknown,3,2,1,Negotino
Admin,998,503,495,Negotino
Total,2648,1377,1271,Novaci
Macedonians,2427,1266,1161,Novaci
Albanians,46,17,29,Novaci
Turks,1,1,0,Novaci
Roma,0,0,0,Novaci
Vlachs,0,0,0,Novaci
Serbs,4,3,1,Novaci
Bosniaks,0,0,0,Novaci
Other,14,9,5,Novaci
Undeclared,1,1,0,Novaci
Unknown,1,0,1,Novaci
Admin,154,80,74,Novaci
Total,6972,3503,3469,Novo Selo
Macedonians,6380,3205,3175,Novo Selo
Albanians,5,0,5,Novo Selo
Turks,0,0,0,Novo Selo
Roma,0,0,0,Novo Selo
Vlachs,0,0,0,Novo Selo
Serbs,6,1,5,Novo Selo
Bosniaks,0,0,0,Novo Selo
Other,14,5,9,Novo Selo
Undeclared,0,0,0,Novo Selo
Unknown,0,0,0,Novo Selo
Admin,567,292,275,Novo Selo
Total,51428,25231,26197,Ohrid
Macedonians,40488,19903,20585,Ohrid
Albanians,1942,921,1021,Ohrid
Turks,1831,890,941,Ohrid
Roma,232,100,132,Ohrid
Vlachs,314,157,157,Ohrid
Serbs,281,131,150,Ohrid
